id,title,overview,genres_list,keywords_list,popularity,vote_average,vote_count,emo_joy,emo_love,emo_sadness,emo_fear,emo_anger,emo_surprise,emo_disgust,final_emo_joy,final_emo_love,final_emo_sadness,final_emo_fear,final_emo_anger,final_emo_surprise,final_emo_disgust
19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']",150.437577,7.2,11800,0.1466466,0.14283839,0.13953227,0.1395978,0.13984793,0.14149188,0.15004517,0.14664659738630367,0.14283838229603849,0.13953226180975462,0.1395977971137555,0.13984792799437368,0.14149186872727268,0.15004516467250148
285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","['Adventure', 'Fantasy', 'Action']","['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",139.082615,6.9,4500,0.1457192,0.14339939,0.14032386,0.13806559,0.1403828,0.14275596,0.14935319,0.14571920254408124,0.14339938973485514,0.14032386452442205,0.13806559351184358,0.1403827986178219,0.1427559575849169,0.14935319348205914
206647,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","['Action', 'Adventure', 'Crime']","['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']",107.376788,6.3,4466,0.14682518,0.14232391,0.14143215,0.13930401,0.14076789,0.14177808,0.1475688,0.14682517508193327,0.14232390694844999,0.1414321469833807,0.13930400790858244,0.14076788303947796,0.14177807743018633,0.1475688026079892
49026,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","['Action', 'Crime', 'Drama', 'Thriller']","['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragic hero', 'terrorism', 'destruction', 'catwoman', 'cat burglar', 'imax', 'flood', 'criminal underworld', 'batman']",112.31295,7.6,9106,0.14666595,0.1413271,0.14096494,0.13818432,0.14122277,0.14530511,0.14632988,0.1466659347216834,0.14132708748228198,0.14096492968760957,0.13818431361136485,0.14122276446053653,0.14530510117820644,0.1463298688583174
49529,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","['Action', 'Adventure', 'Science Fiction']","['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs', 'alien race', 'superhuman strength', 'mars civilization', 'sword and planet', '19th century', '3d']",43.926995,6.1,2124,0.14710069,0.14247966,0.14043479,0.13830459,0.13855372,0.14336656,0.14976,0.14710068702697754,0.14247965812683105,0.14043478667736053,0.13830459117889404,0.13855372369289398,0.14336656033992767,0.14975999295711517
559,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","['Fantasy', 'Action', 'Adventure']","['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand', 'narcism', 'hostility', 'marvel comic', 'sequel', 'superhero', 'revenge']",115.699814,5.9,3576,0.14678514,0.14072978,0.14072484,0.14076273,0.14125632,0.14354248,0.14619876,0.146785131288461,0.14072977657736677,0.1407248293921453,0.1407627230428026,0.1412563090767676,0.143542474893184,0.1461987557292726
38757,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","['Animation', 'Family']","['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness', 'healing power', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick']",48.681969,7.4,3330,0.14583388,0.14276595,0.14149798,0.13937062,0.139414,0.14406535,0.14705221,0.14583387970924377,0.14276595413684845,0.14149798452854156,0.1393706202507019,0.1394139975309372,0.14406535029411316,0.14705221354961395
99861,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","['Action', 'Adventure', 'Science Fiction']","['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",134.279229,7.3,6767,0.14761294,0.14148398,0.14105491,0.1381216,0.14107597,0.14391266,0.14673795,0.1476129420457342,0.14148397532874382,0.14105491129972172,0.13812160286126132,0.14107596664017488,0.14391265595089411,0.14673794587346992
767,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","['Adventure', 'Fantasy', 'Family']","['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']",98.885637,7.4,5293,0.14558107,0.14359508,0.14180313,0.13862824,0.14006051,0.14285053,0.14748141,0.14558106877775592,0.14359508668773005,0.1418031326205005,0.13862824646574626,0.140060516298719,0.14285053525642358,0.14748141389312466
209112,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","['Action', 'Adventure', 'Fantasy']","['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']",155.790452,5.7,7004,0.14822264,0.14163193,0.14106603,0.13741803,0.14128414,0.1433128,0.14706446,0.14822263573936714,0.14163192684555273,0.14106602546375913,0.13741802759712854,0.14128413375365337,0.14331279267928623,0.14706445792125292
