id,title,overview,genres_list,keywords_list,poster_path,popularity,vote_average,vote_count,emo_joy,emo_love,emo_sadness,emo_fear,emo_anger,emo_surprise,emo_disgust,final_emo_joy,final_emo_love,final_emo_sadness,final_emo_fear,final_emo_anger,final_emo_surprise,final_emo_disgust
299536,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","['Adventure', 'Action', 'Science Fiction']","['sacrifice', 'magic', 'superhero', 'based on comic', 'space', 'battlefield', 'genocide', 'magical object', 'super power', 'superhero team', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'cosmic']",/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,35.421,8.235,30899,0.14786354,0.13960582,0.1410771,0.13875411,0.14078094,0.14393072,0.14798777,0.14786353707313538,0.1396058201789856,0.14107710123062134,0.13875411450862885,0.14078094065189362,0.14393071830272675,0.14798776805400848
504056,Big Brother,"A soldier-turned-high school teacher uses unusual methods to reach to a class of poor students, while dealing with a greedy entrepreneur and his gang of fighters as well as the government.","['Action', 'Drama', 'Comedy']",[],/z6Y6uQn2fORr7o43EggQrTsp08o.jpg,30.0264,7.342,180,0.14609872,0.14329433,0.13937728,0.13914232,0.14136499,0.14176576,0.14895664,0.14609871151602066,0.14329432800586545,0.1393772748391058,0.13914231333990482,0.14136498534537914,0.141765752057772,0.14895663489595193
439079,The Nun,A priest with a dark past and a novice nearing her final vows are sent by the Vatican to Romania to investigate a nun's death and face a demonic force.,['Horror'],"['rome, italy', 'nun', 'supernatural', 'exorcism', 'father', 'priest', 'spirit', 'demon', 'spin off', 'evil nun', 'demonic possession', 'romania', 'murder mystery', 'ancient evil', 'the conjuring universe']",/sFC1ElvoKGdHJIWRpNB3xWJ9lJA.jpg,28.313,5.903,6896,0.14532183,0.14526585,0.14213012,0.13675755,0.14037482,0.14216045,0.14798935,0.1453218354380678,0.14526585177379403,0.14213012582451479,0.13675755669944156,0.1403748285882124,0.142160449688448,0.1479893519875214
337167,Fifty Shades Freed,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.","['Drama', 'Romance']","['based on novel or book', 'eroticism', 'sequel', 'bdsm']",/jjPJ4s3DWZZvI4vw8Xfi4Vqa1Q8.jpg,22.7689,6.688,8179,0.14470929,0.14409314,0.1400492,0.13808095,0.14245276,0.14291538,0.14769927,0.14470928907394412,0.1440931409597397,0.14004920423030856,0.1380809545516968,0.1424527615308762,0.14291538298130038,0.14769926667213443
324857,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.","['Animation', 'Action', 'Adventure', 'Science Fiction']","['superhero', 'based on comic', 'aftercreditsstinger', 'alternate universe']",/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,22.4959,8.397,16395,0.14644828,0.14115871,0.14107683,0.13983692,0.14072162,0.14335181,0.1474057,0.14644830184558652,0.14115873171791216,0.14107684982739088,0.13983693895780314,0.14072163590450715,0.143351825279215,0.14740571646758516
260513,Incredibles 2,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.","['Action', 'Adventure', 'Animation', 'Family']","['married couple', 'superhero', 'cartoon', 'villain', 'sequel', 'parenting', 'family', 'super power', 'female villain', 'supervillain']",/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg,21.2927,7.453,13226,0.1451878,0.14352119,0.14013201,0.13893554,0.14193115,0.14325961,0.14703271,0.14518779516220093,0.14352118968963623,0.14013200998306274,0.13893553614616394,0.14193114638328552,0.14325961470603943,0.1470327079296112
353081,Mission: Impossible - Fallout,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.","['Action', 'Adventure']","['mask', 'race against time', 'london, england', 'central intelligence agency (cia)', 'helicopter', 'paris, france', 'plutonium', 'chase', 'gun', 'spy', 'countdown', 'fake identity', 'stunt', 'fistfight', 'double agent', 'norway', 'sequel', 'infiltration', 'mi6', 'motorcycle', 'killer', 'bomb remote detonator', 'nuclear weapons', 'handgun', 'fictional government agency', 'hand to hand combat', 'motorcycle chase', 'government agency', 'kashmir', 'french police', 'helicopter chase', 'based on tv series', 'secret government agency', 'action', 'terrorist', 'cia']",/AkJQpZp9WoNdj7pLYSj1L0RcMMN.jpg,14.8369,7.442,8689,0.1465591,0.14205769,0.14144582,0.13937297,0.14136341,0.1425959,0.14660506,0.14655911087508997,0.14205769339461746,0.14144582188632288,0.1393729808646283,0.14136341846123718,0.14259590845983813,0.14660506605826615
351286,Jurassic World: Fallen Kingdom,"Three years after Jurassic World was destroyed, Isla Nublar now sits abandoned. When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.","['Action', 'Adventure', 'Science Fiction', 'Thriller']","['tyrannosaurus rex', 'volcano', 'rescue mission', 'sequel', 'wild animal', 'prehistoric creature', 'dinosaur', 'genetic engineering', 'aftercreditsstinger', 'monster island']",/2CQ53CuWD1KdlOkEWhJcEVjqKn4.jpg,19.6095,6.54,12290,0.14603697,0.14372754,0.13974935,0.13920581,0.1407525,0.14307864,0.14744921,0.14603696545903436,0.1437275388281414,0.1397493460811772,0.1392058113335697,0.14075249223779898,0.1430786379713023,0.14744920808897602
335983,Venom,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.","['Science Fiction', 'Action']","['spacecraft', 'san francisco, california', 'superhero', 'anti hero', 'alien life-form', 'based on comic', 'aftercreditsstinger', 'duringcreditsstinger', 'business tycoon', 'symbiote', 'genetic experiment', 'venom', ""sony's spider-man universe""]",/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,15.4785,6.828,16710,0.14728346,0.14081423,0.14067528,0.1392356,0.14036676,0.14332537,0.14829926,0.14728346905957068,0.14081423404259186,0.1406752807103181,0.13923560497866883,0.14036676705976628,0.14332537780181698,0.14829926634726723
336843,Maze Runner: The Death Cure,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.","['Science Fiction', 'Action', 'Adventure', 'Thriller']","['based on novel or book', 'fight', 'maze', 'post-apocalyptic future', 'imprisonment', 'terminal illness', 'mad scientist', 'trial', 'sequel', 'survival', 'murder', 'zombie', 'doctor', 'battle', 'vaccine', 'scientist', 'killer', 'desert', 'labyrinth', 'combat', 'illness', 'cure', 'zombie apocalypse', 'runner', 'universal cure', 'based on young adult novel']",/drbERzlA4cuRWhsTXfFOY4mRR4f.jpg,17.2566,7.097,8076,0.1465844,0.14110681,0.141603,0.13789715,0.1401308,0.14447118,0.14820668,0.1465844021265387,0.14110680994073124,0.14160298879137667,0.1378971446187155,0.14013079881278281,0.14447117911365095,0.14820667659620415
333339,Ready Player One,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.","['Adventure', 'Action', 'Science Fiction']","['future', 'based on novel or book', 'video game', 'virtual reality', 'dystopia', 'nostalgia', 'love', 'film in film', 'evil corporation', 'quest', '1980s', '2040s', 'based on young adult novel', 'columbus, ohio', 'inspirational', 'vrmmo']",/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg,14.2761,7.585,16206,0.14684814,0.14408013,0.14091697,0.13650867,0.14066233,0.14197108,0.1490127,0.14684813777064867,0.14408012795209504,0.14091696915277932,0.13650866936121375,0.1406623232167267,0.14197107726421723,0.14901269528231934
420634,Terrifier,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.,"['Horror', 'Thriller']","['halloween', 'clown', 'gore', 'slasher', 'maniac', 'killer clown', 'evil clown', 'based on short', 'independent film', 'sinister']",/fjXqhGmaeQpB73WerhrYU6HlyV5.jpg,11.9905,6.346,2758,0.1452933,0.14346814,0.14019048,0.13953768,0.14034313,0.14274997,0.14841731,0.14529329538345337,0.14346814155578613,0.1401904821395874,0.13953767716884613,0.14034312963485718,0.14274996519088745,0.14841730892658234
455236,Accident Man,"Mike Fallon, the Accident Man, is a stone cold killer.  When a loved one is murdered by his own crew, Fallon is forced to avenge the one person who actually meant something to him.","['Action', 'Crime', 'Thriller']",['based on comic'],/bHFKej3Dbr8kGRSRHpkoFHq9TJQ.jpg,12.3644,6.226,538,0.14489983,0.14321014,0.1397241,0.13842574,0.14039728,0.14389545,0.14944747,0.14489982806295412,0.14321014071687846,0.13972410351449097,0.13842573555669582,0.14039727836255314,0.14389544510997168,0.14944746867645578
345887,The Equalizer 2,"Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when his former partner is murdered.","['Action', 'Thriller', 'Crime']","['drug dealer', 'martial arts', 'central intelligence agency (cia)', 'rape', 'kidnapping', 'hostage', 'hurricane', 'sequel', 'revenge', 'murder', 'gang', 'massacre', 'aggressive', 'elite forces', 'vigilante justice', 'suspenseful', 'commanding', 'exhilarated', 'frightened']",/cQvc9N6JiMVKqol3wcYrGshsIdZ.jpg,11.6242,6.8,5635,0.14653002,0.14398776,0.14023262,0.13848087,0.14007023,0.14339072,0.14730775,0.14653002162367168,0.14398776423894655,0.14023262680270152,0.13848087604286896,0.1400702339431713,0.14339071939559933,0.1473077579530405
383498,Deadpool 2,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,"['Action', 'Comedy', 'Adventure']","['hero', 'superhero', 'mutant', 'mercenary', 'based on comic', 'sequel', 'breaking the fourth wall', 'aftercreditsstinger', 'duringcreditsstinger', 'joyful']",/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,13.1614,7.489,18573,0.14746134,0.14145486,0.1400891,0.14196688,0.13825786,0.14269276,0.14807718,0.14746134422604276,0.14145486478373007,0.14008909881380496,0.14196688359877122,0.13825786525779563,0.14269276388564003,0.14807717943421542
490132,Green Book,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.","['Drama', 'History']","['friendship', 'southern usa', 'road trip', 'racism', 'pianist', 'driver', 'lgbt', 'road movie', 'music tour', '1960s', 'roadtrip', 'gay theme', 'feel good', 'wry']",/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,12.0365,8.226,12211,0.14351325,0.14369328,0.14109343,0.14099371,0.14058761,0.14390896,0.14620973,0.14351324950923397,0.1436932853414608,0.14109343500574584,0.14099371643355066,0.14058761508148337,0.1439089647517944,0.14620973387673103
427641,Rampage,"Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend.","['Action', 'Adventure', 'Science Fiction']","['monster', 'wolf', 'mutation', 'gorilla', 'giant monster', 'lizard', 'giant lizard', 'creature', 'based on video game', 'giant animal', 'mutant animal', 'kaiju', 'albino', 'giant', 'rat', 'genetic experiment', 'destroyed city', 'giant gorilla', 'animal monster']",/MGADip4thVSErP34FAAfzFBTZ5.jpg,13.2018,6.457,7256,0.14633068,0.14250903,0.14174648,0.13881016,0.14064644,0.14221743,0.14773977,0.14633068660394377,0.14250903043909416,0.1417464784047973,0.13881015984431147,0.1406464448667533,0.14221742961134656,0.1477397702297534
493922,Hereditary,"Following the death of the Leigh family matriarch, Annie and her children uncover disturbing secrets about their heritage. Their daily lives are not only impacted, but they also become entangled in a chilling fate from which they cannot escape, driving them to the brink of madness.","['Horror', 'Mystery', 'Thriller']","['daughter', 'funeral', 'loss of loved one', 'ritual', 'supernatural', 'affectation', 'possession', 'cult', 'dysfunctional family', 'murder', 'family drama', 'fear', 'demon', 'attic', 'evil', 'ritual murder', 'demonic possession', 'satanic ritual', 'dollhouse', 'satanic cult', 'séance', 'matriarch', 'miniatures', 'anxious', 'coven', 'didactic', 'cheerful']",/4GFPuL14eXi66V96xBWY73Y9PfR.jpg,12.9319,7.292,8089,0.14549994,0.1439742,0.14084505,0.13704565,0.14168543,0.14389808,0.14705166,0.14549994251877155,0.14397419774570766,0.14084504334859485,0.1370456496321313,0.14168542412392163,0.1438980826154637,0.14705166001540929
